"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"75351910382706688","","","73897021932699648","105690080","2011-05-31 00:04:30 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @SamBHarrelson: Great piece from @jrosenberg6432 on speaking the truth in education: http://t.co/QRG8c2N","http://sciencewithrosenberg.tumblr.com/post/5880100572/the-truth"
"75351903302721536","73897021932699648","105690080","","","2011-05-31 00:04:28 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","@SamBHarrelson thanks for the mention!"
"74929233520111617","","","","","2011-05-29 20:04:56 +0000","<a href=""http://runkeeper.com"" rel=""nofollow"">RunKeeper</a>","Just completed a 1.01 mi run - It's hot (in Raleigh). http://rnkpr.com/am8hpf #RunKeeper"
"74612755314913280","","","","","2011-05-28 23:07:21 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at Caffe Luna (136 E Hargett St, N Blount St, Raleigh) http://4sq.com/kYtlR8"
"73897531091857408","","","","","2011-05-26 23:45:19 +0000","web","New Post: The Truth http://www.tumblr.com/tumblelog/sciencewithrosenberg"
"73886720462045184","","","","","2011-05-26 23:02:21 +0000","<a href=""http://runkeeper.com"" rel=""nofollow"">RunKeeper</a>","Just completed a 4.39 mi bike ride with @runkeeper. Check it out! http://rnkpr.com/am1n2d #RunKeeper"
"73532133439848449","","","","","2011-05-25 23:33:21 +0000","<a href=""http://runkeeper.com"" rel=""nofollow"">RunKeeper</a>","Just completed a 6.10 mi bike ride - Mono Lake in Shelby is very nice! http://rnkpr.com/alz80m #RunKeeper"
"72870938005352448","","304151864","","","2011-05-24 03:46:00 +0000","web","@HunLye welcome to Twitter sire"
"72859322136276992","","","72858519401005057","14147479","2011-05-24 02:59:50 +0000","web","RT @21stprincipal: The 21st Century Principal: Time to Toss Out Cell Phone Bans and SM Filters and Be True Technology Leaders http://bit ..."
"71980001712537601","","","71978691944652801","7517052","2011-05-21 16:45:44 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howardlindzon: I didn't know I could act but i am at the apple store yelling steve jobs hates Ahmish people to get my phone replaced."
"70625813673943041","","","70605645296041984","101896529","2011-05-17 23:04:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @HuffPostCollege: A survey finds that 60% of recent grads cannot get a full-time job in their chosen profession: http://bit.ly/m6b6qS"
"70297148511617025","","","","","2011-05-17 01:18:40 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","I'm using Study Bio! for Science and Biology resources! http://t.co/p1Mu2ls via @jrosenberg6432","http://www.studybio.com/Study_Bio%2521//Home_files/widget5_markup.html"
"69978336364990465","","","69655549934964736","14147479","2011-05-16 04:11:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @21stprincipal: Makes you wonder if all the attacks on public education are not to deflect attention on what our economic & business  ..."
"69978299807449088","","","69657101491900416","14147479","2011-05-16 04:11:41 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @21stprincipal: Our loyalty is not to corporations, unlike our political establishment, but to children."
"69887007677104131","","","","","2011-05-15 22:08:55 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I uploaded a @YouTube video http://youtu.be/xrfohT-43iY?a LEAF Festival Acoustic Players"
"69856744964227072","69844524301692928","22522178","","","2011-05-15 20:08:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ReformedBroker who put this together?"
"69773584700153856","","","","","2011-05-15 14:38:13 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Happy Sunday twitterers - go and get some good breakfast today"
"69570817712848896","","","","","2011-05-15 01:12:30 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","With Katie (@ Table) http://4sq.com/jjjhlh"
"68420818257981440","","","68162437903421440","15934340","2011-05-11 21:02:48 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @tonysphere: RT @ev: Good design used to make you stand out on the web. Now it's the price of entry."
"67770009144926208","","","","","2011-05-10 01:56:43 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","via @TheOnion - Budget Mix-Up Provides Nation's Schools With Enough Money To Properly Educate Students http://t.co/z47jLpG","http://onion.com/m1L36x"
"67758612583424000","","","","","2011-05-10 01:11:26 +0000","web","Here is a link to the Carolina Chocolate Drops site: http://www.carolinachocolatedrops.com/music"
"67758256696737792","","","","","2011-05-10 01:10:01 +0000","web","I'm listening to the Carolina Chocolate Drops from Durham, these guys won a Grammy last year - very nice!"
"67757912860266496","","7517052","","","2011-05-10 01:08:39 +0000","web","@howardlindzon if you meant Real Simple Syndication by RSS yesterday.. I'm with you! Google Reader is my most-used website.."
"67424825760681984","67418355862216704","7517052","","","2011-05-09 03:05:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@howardlindzon what's RSS?"
"67027732378304512","","","","","2011-05-08 00:47:11 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at Blu Basil (306 S Sharon Amity, Charlotte) http://4sq.com/jkLlw6"
"67001160183193601","","","","","2011-05-07 23:01:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I love to try things on at REI"
"65623871436496896","","","65623226293817345","16303106","2011-05-04 03:48:44 +0000","web","RT @StephenAtHome: My plan to solve the oil crisis: 1) Reincarnate dinosaurs 2) Slaughter all reincarnated dinosaurs 3) wait 7 million y ..."
